name*,version*,license*,Copyrights*,end-of-support,dependencies,language,repository,email,url
sitemesh,3.0.1,Apache-2.0,,,,Java,,,
jcl-over-slf4j,1.7.30,Apache-2.0,,,,Java,,,
jul-to-slf4j,1.7.30,MIT,,,,Java,,,
slf4j-api,1.7.30,MIT,,,,Java,,,
slf4j-log4j12,1.7.30,MIT,,,,Java,,,
spring-security-acl,5.4.7,Apache-2.0,,,,Java,,,
spring-security-config,5.4.7,Apache-2.0,,,,Java,,,
spring-security-core,5.4.7,Apache-2.0,,,,Java,,,
spring-security-taglibs,5.4.7,Apache-2.0,,,,Java,,,
spring-security-web,5.4.7,Apache-2.0,,,,Java,,,
spring-aop,5.3.9,Apache-2.0,,,,Java,,,
spring-beans,5.3.9,Apache-2.0,,,,Java,,,
spring-context-support,5.3.9,Apache-2.0,,,,Java,,,
spring-context,5.3.9,Apache-2.0,,,,Java,,,
spring-core,5.3.9,Apache-2.0,,,,Java,,,
spring-expression,5.3.9,Apache-2.0,,,,Java,,,
spring-jcl,5.3.9,Apache-2.0,,,,Java,,,
spring-jdbc,5.3.9,Apache-2.0,,,,Java,,,
spring-oxm,5.3.9,Apache-2.0,,,,Java,,,
spring-tx,5.3.9,Apache-2.0,,,,Java,,,
spring-web,5.3.9,Apache-2.0,,,,Java,,,
spring-webmvc,5.3.9,Apache-2.0,,,,Java,,,
vibur-object-pool,25.0,Apache-2.0,,,,Java,,,
wsdl4j,1.6.3,CPL,,,,Java,,,
xml-resolver,1.2,Apache-2.0,,,,Java,,,
